epoca,train_loss,train_acuracia,validate_loss,validate_acuracia,time_s
1,4.719458573659261,3.7708333333333335,4.591590830485026,15.291666666666668,42.01565074920654
2,4.381651479403178,16.416666666666664,4.051688283284506,32.83333333333333,43.15644645690918
3,3.7842515309651694,26.697916666666664,3.2811008294423423,45.375,43.65347933769226
4,3.1843968772888185,32.90625,2.6329450877507528,52.29166666666667,43.5438506603241
5,2.735002823670705,39.04166666666667,2.2565209992726643,56.166666666666664,43.40167045593262
6,2.4414789072672525,42.260416666666664,1.9637457164128622,58.75,43.65433621406555
7,2.226129641930262,45.02083333333333,1.7361998637517293,62.375,43.43217849731445
8,2.0525742288430533,48.052083333333336,1.6021876128514607,64.29166666666667,43.24937033653259
9,1.9258076051870983,49.916666666666664,1.493119507630666,64.33333333333333,43.772974729537964
10,1.809820656379064,51.28125,1.3940893205006917,65.58333333333334,43.39349961280823
11,1.72336217602094,54.114583333333336,1.3225707054138183,66.83333333333333,43.867923736572266
12,1.6581537997722626,54.489583333333336,1.2424036765098572,68.375,43.47038817405701
13,1.60488644917806,55.395833333333336,1.198063288529714,68.75,43.52010154724121
14,1.5537220281362534,57.09375,1.1709184432029724,68.33333333333333,43.29400610923767
15,1.5012505853176117,57.52083333333333,1.145802632967631,69.125,43.428977251052856
16,1.4642572343349456,58.90625000000001,1.0946663769086202,69.625,43.42591571807861
17,1.411852268576622,60.32291666666667,1.0796712803840638,70.08333333333333,43.87482929229736
18,1.3947942539056142,60.635416666666664,1.0414941612879436,70.70833333333333,43.590752601623535
19,1.3580498774846395,60.53125,1.0278722437222798,71.41666666666666,43.50296688079834
20,1.325398204922676,61.59375,1.024541140794754,71.16666666666667,43.7282829284668
21,1.292976755897204,62.4375,0.9754303177197774,72.41666666666666,43.97588610649109
22,1.2749146924416224,63.239583333333336,0.9642185719807943,72.16666666666667,43.834357500076294
23,1.2521097991863888,63.72916666666667,0.9723756229877472,71.54166666666667,43.45313906669617
24,1.2202073393265407,64.01041666666667,0.9498859584331513,72.54166666666667,43.56044411659241
25,1.2199520617723465,64.33333333333333,0.936902470588684,73.125,43.70759677886963
26,1.1868613094091416,64.82291666666666,0.9163791159788768,73.29166666666667,43.308467864990234
27,1.1719521617889403,65.72916666666667,0.9320656478404998,72.66666666666667,43.572970151901245
28,1.1544009419282277,65.70833333333333,0.9101209195454916,73.83333333333333,43.24738669395447
29,1.12585360010465,66.36458333333334,0.8928836397329967,73.91666666666666,43.78585934638977
30,1.1207341309388479,67.02083333333333,0.8880432665348053,73.54166666666667,43.39245080947876
31,1.1054173254966735,67.08333333333333,0.865283047358195,74.70833333333333,43.52031469345093
32,1.0904383061329523,68.01041666666666,0.8658510824044545,74.5,43.28261637687683
33,1.0683745272954306,68.47916666666667,0.8730393739541372,74.20833333333333,43.49317145347595
34,1.0662632570664088,68.32291666666667,0.8515601003170014,74.04166666666666,43.317482233047485
35,1.0294224931796392,69.29166666666666,0.8537490697701772,74.70833333333333,43.278706789016724
36,1.0433500595887502,68.76041666666667,0.8497229758898417,74.75,43.60156488418579
37,1.0152230405807494,70.27083333333334,0.8519200722376505,74.41666666666666,43.019327878952026
38,1.026331116159757,68.94791666666666,0.8360153152545293,75.5,43.26259636878967
39,0.9939725156625112,70.19791666666667,0.8221072147289912,75.375,43.0907678604126
40,0.9993679710229237,69.98958333333334,0.8355843500296275,74.54166666666666,43.72298455238342
41,0.9825148769219716,71.03125,0.8361270022392273,75.04166666666666,43.26007390022278
42,0.9657530613740285,71.04166666666667,0.8264741849899292,74.5,43.6785945892334
43,0.9499918613831202,70.9375,0.8283924722671508,74.54166666666666,43.30580019950867
44,0.960084450940291,71.64583333333333,0.8408858541647594,74.45833333333334,43.45345640182495
